participant_id,activity_instance_id,activity_attendance,fiscal_year,activity_name,activity_category,activity_label,school,start_date,end_date,total_program_days
46848314,3527068,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Shafer),Mission HS,2019-01-24,2019-01-24,0
46848575,3420417,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Finegold-Shaw),Mission HS,2018-09-27,2018-09-27,0
46848601,3476343,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field (Fiengold-Shaw),Mission HS,2018-11-01,2018-11-01,0
46848601,3527022,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Feingold-Shaw),Mission HS,2019-03-14,2019-03-14,0
46848962,3384580,69,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,Mission Surfing 101 Course,Mission HS,2018-08-20,2019-05-29,282
46848962,3440566,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-09-13,2018-09-13,0
46848962,3474149,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2018-11-08,2018-11-08,0
46848962,3476373,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field trip (Hillard/Surf Club),Mission HS,2018-10-25,2018-10-25,0
46848962,3499217,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Dragonboat),Mission HS,2019-03-21,2019-03-21,0
46848962,3528219,1,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,Surf Field Trip (Surf Club),Mission HS,2019-04-04,2019-04-04,0
46848962,3621418,3,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT SUMMER CAMP SESSION 1: Faces SF,Mission HS,2019-06-18,2019-06-20,2
46848962,3621419,6,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,SILT 2019 Backpacking/Camp/Surf Training,Mission HS,2019-06-08,2019-06-13,5
