Participant_ID,Activity_Instance_ID,Activity_Attendance
46872115,3384580,45
46872155,3517784,5
46872666,3620940,1
46872683,3417045,10
46872695,3417045,12
46872724,3384580,25
46872826,3417059,8
46872848,3421146,2
46872848,3440566,1
46872848,3473499,1
46872848,3474121,1
46872848,3476373,1
46872961,3421146,2
46872993,3621424,2
46873375,3621418,3
46873595,3384580,60
46873706,3384580,10
46874082,3417059,1
46874195,3475642,1
46875178,3474515,4
46875282,3384580,64
46875282,3440566,1
46875282,3474121,1
46875282,3474149,1
46875282,3620656,1
46875301,3517784,5
46875342,3499380,1
46875344,3620979,1
46875363,3620598,1
46875410,3535885,1
46875412,3440566,1
46875412,3473499,1
46875412,3476373,1
46875412,3476388,1
46875415,3429906,1
46875415,3473499,1
46875415,3476373,1
46875806,3499320,1
46875822,3440566,1
46876799,3384580,78
46876799,3440566,1
46876799,3454339,1
46876799,3474149,1
46876879,3420417,1
46876879,3527022,1
46876883,3472807,1
46876883,3620940,1
46876927,3417059,6
46876991,3417045,23
46876991,3517784,3
46876991,3621415,1
46876991,3621418,3
46876991,3621419,6
46877014,3384580,46
46877017,3417059,5
46877315,3535885,1
46877330,3517784,3
46877420,3535885,1
46877420,3536052,1
46877468,3429906,1
46877482,3417045,10
46877683,3417045,25
46877683,3517784,3
46877766,3621424,3
46878126,3620979,1
46878330,3621418,3
46878458,3440661,1
46878514,3538029,1
46878543,3474121,1
46878556,3440566,1
46878556,3440661,1
46878556,3454339,1
46878556,3474149,1
46878556,3480978,1
46878556,3526992,1
46878556,3538029,1
46878556,3621415,1
46878556,3621418,3
46878556,3621419,6
46878608,3420508,1
46878634,3620598,1
46878634,3620600,1
46878828,3528219,1
46878841,3420508,1
46878864,3420508,1
46878903,3417045,7
46878926,3476388,1
46878926,3499320,1
46879232,3417045,27
46879232,3517784,4
46879323,3620598,1
46879337,3384580,31
46879343,3417045,2
46879480,3536052,1
46879488,3528375,1
46879489,3620600,1
46879516,3429906,1
46879526,3417045,14
46879527,3440566,1
46879527,3473499,1
46879527,3476373,1
46879527,3476388,1
46879865,3473499,1
46879865,3476373,1
46879865,3476388,1
46879866,3417045,22
46881348,3499217,1
46882582,3621424,3
46883041,3440661,1
46883041,3528375,1
46883053,3417059,5
46883264,3538029,1
46883369,3440661,1
46883802,3420508,1
46883837,3429906,1
46883837,3535885,1
46883856,3499217,1
46883856,3499320,1
46883856,3536052,1
46884418,3440566,1
46884418,3473499,1
46884418,3476388,1
46884481,3528219,1
46884497,3499217,1
46884509,3620598,1
46884524,3429906,1
46884526,3536052,1
46884526,3538029,1
46884546,3528219,1
46884705,3417045,13
46884749,3420508,1
46884758,3440566,1
46884758,3473499,1
46884758,3476373,1
46884760,3417045,1
46885414,3475642,1
46885437,3535885,1
46885457,3440661,1
46885457,3528375,1
46885478,3475642,1
46885507,3429906,1
46885512,3420508,1
46885524,3499320,1
46885578,3421146,2
46885746,3528375,1
46885769,3476388,1
46885803,3384580,32
46885803,3440566,1
46885803,3454339,1
46885803,3474121,1
46885803,3474149,1
46885852,3417045,11
46885854,3474515,19
46886714,3473499,1
46886714,3476373,1
46886737,3384580,67
46886753,3473499,1
46886753,3476388,1
46886753,3499320,1
46886753,3526992,1
46886766,3528219,1
46886790,3429906,1
46886798,3528375,1
46886823,3476388,1
46886827,3429906,1
46886856,3620600,1
46887178,3383538,7
46887178,3508583,6
46887321,3440566,1
46887321,3473499,1
46887321,3476373,1
46887321,3476388,1
46887361,3476388,1
46887434,3440661,1
46887862,3536052,1
46888803,3420508,1
46889250,3429906,1
46889262,3475642,1
46889300,3528219,1
46889300,3528375,1
46889358,3473499,1
46889358,3476373,1
46889438,3417059,8
46890513,3527022,1
46890828,3620979,1
46890939,3499217,1
46890939,3499320,1
46890939,3536052,1
46890980,3429906,1
46890980,3538029,1
46890986,3417059,13
46890991,3440661,1
46891003,3528219,1
46891066,3440661,1
46891098,3420508,1
46891897,3383538,7
46891989,3383538,7
46891989,3508595,4
46892101,3476979,5
46892821,3621424,3
46892864,3384580,68
46892864,3420508,1
46893082,3421146,2
46893469,3421146,2
46893469,3621424,2
46893706,3421146,2
46893706,3621424,2
46893742,3508583,5
46894163,3417059,12
46894168,3440661,1
46894168,3454339,1
46894168,3473499,1
46894168,3474121,1
46894168,3476373,1
46894168,3476388,1
46894168,3480978,1
46894168,3499217,1
46894168,3499320,1
46894168,3499380,1
46894168,3526992,1
46894168,3528219,1
46894168,3528332,1
46894168,3528375,1
46894168,3535885,1
46894168,3535966,1
46894168,3538008,1
46894168,3538029,1
46894320,3383538,7
46894320,3508595,9
46894801,3621424,3
46894961,3621424,2
46895808,3476979,8
46895808,3508595,7
46896188,3621424,3
46896461,3474515,13
46896561,3508583,7
46896750,3472807,1
46897274,3417059,5
46897422,3508595,9
46897487,3383538,7
46897549,3383538,6
46897549,3476979,8
46897549,3508583,8
46897549,3508595,9
46897577,3383538,5
46898292,3383538,7
46898292,3508583,5
46898319,3421146,2
46898453,3472807,2
46898738,3508583,7
46898818,3508583,8
46898869,3383538,7
46898869,3508595,9
46899499,3476979,7
46899585,3508583,3
46899890,3421146,2
46900269,3508583,4
46900329,3508583,7
46901050,3421146,2
46901050,3621424,3
46901108,3476979,8
46901108,3508595,8
46901198,3508595,8
46903631,3421146,2
46904225,3620598,1
46904597,3476979,8
46904597,3508595,9
46905255,3421146,2
46906175,3508595,8
46906440,3383538,7
46906440,3508583,6
46906790,3421146,2
46907262,3421146,2
46907807,3476979,4
46907807,3508595,9
46908175,3621424,3
46908206,3476979,6
46908729,3508595,3
46909753,3421146,2
46909858,3421146,2
46990945,3421146,2
46991083,3473499,1
46991083,3476373,1
47027338,3420508,1
47027379,3384580,17
47027386,3417045,9
47228286,3621418,3
47255849,3476343,1
