Program_Name,Fiscal_year,Activity_Name,Activity_category,Activity_Instance_ID,Activity_Label,Service_site_name,School,Service_Site_Address,Start_date,End_date,Days_of_week,Time,Total_program_days
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfers In Leadership Training (SILT),Grades K-12 - Summer,3421146,SILT Summer Surf Day Camps,Mission High School- Surfing 101,Mission HS," 3750 18th St, San Francisco, CA ",2018-07-10,2018-08-02,"Tu, W, Th",10:00 AM-6:00 PM,23
City Surf Project: Surfing 101 Scholastic Program,FY2018-2019,Surfing 101 HS/PE Course,Grades K-12 - Afterschool/Extended Day,3517784,Week Without Walls (March 2019),Leadership High School- Surfing 101,Leadership HS Charter," 350 Seneca Ave, San Francisco, CA ",2019-03-18,2019-03-22,"M, Tu, W, Th, F",9:00 AM-4:00 PM,4
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3757619,HS Surf Jamboree,Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-10-21,2019-10-21,M,11:00 AM-3:00 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3475642,John O'Connell Field Trip 12/15/18,John O'Connell High School Intro to Surfing Field Trips,O'Connell (John) HS,"2355 Folsom St, San Francisco, CA ",2018-12-15,2018-12-15,Sa,9:00 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3620656,Mission Surf Club,Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-18,2019-05-18,Sa,10:00 AM-4:00 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3476343,Surf Field (Fiengold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-11-01,2018-11-01,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3499217,Surf Field Trip (Dragonboat),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-03-21,2019-03-21,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3528332,Surf Field Trip (Feingold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-04-11,2019-04-11,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3527022,Surf Field Trip (Feingold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-03-14,2019-03-14,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3792128,Surf Field Trip (Feingold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2020-01-09,2020-01-09,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3747561,Surf Field Trip (Feingold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-10-24,2019-10-24,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3712285,Surf Field Trip (Fernandez),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-09-19,2019-09-19,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3499380,Surf Field Trip (Fernandez),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-02-07,2019-02-07,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3420417,Surf Field Trip (Finegold-Shaw),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-09-27,2018-09-27,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3538008,Surf Field Trip (Hallinan),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-05-16,2019-05-16,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3476388,Surf Field Trip (Hallinan),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-10-11,2018-10-11,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3743620,Surf Field Trip (Hallinan),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-10-03,2019-10-03,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3794670,Surf Field Trip (Hallinan),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2020-01-30,2020-01-30,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3476373,Surf Field trip (Hillard/Surf Club),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-10-25,2018-10-25,Th,11:30 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3440661,Surf Field Trip (Kimball),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2018-09-20,2018-09-20,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2018-2019,Intro to Surfing Field Trips,Grades K-12 - Afterschool/Extended Day,3535885,Surf Field Trip (Kimball),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-04-18,2019-04-18,Th,11:15 AM-3:30 PM,0
City Surf Project: Intro to Surfing Field Trips Scholastic Program,FY2019-2020,Intro to Surfing Field Trips,Grades K-12 - School Day,3774797,Surf Field Trip (Kimball),Mission High School- Intro to Surfing Field Trips,Mission HS," 3750 18th St, San Francisco, CA ",2019-12-05,2019-12-05,Th,12:15 PM-3:30 PM,0
